Município-São Paulo,Codigo Municipio,Ano,Gini,Densidade,% Trab,PIB per capita,Anos Medios de Educação,Investimento em Segurança,Urbanização,População,Homicídio Doloso,Furto,Roubo,Furto e Roubo de Veículo,Crime,Tx.Crime,Tx.Seg
SAO VICENTE,3551009,2011,0.34644381026992555,2247.568838146407,0.125093004007016,10039.678532793374,13.146450410854195,14422213.249865418,0.999391634951096,334663.0,41,4001,3276,1155,8432,25.195495169767796,43094.73485227054
SAO VICENTE,3551009,2010,0.3466230079503336,2232.5319006044324,0.12265359901812144,10109.48,12.897726436612464,13981845.62,0.9993168636910359,332424.0,44,3480,2861,1222,7563,22.751064905061007,42060.27729646476
SERTAOZINHO,3551702,2017,0.3405638471424264,304.62742175856926,0.32516327878476553,28266.774223869983,13.000075227563379,6855357.648747263,0.9644070665897416,122643.0,9,1235,323,329,1887,15.3861206917639,55896.852235735125
SERTAOZINHO,3551702,2016,0.340984327079383,301.56979632389465,0.33696833920864494,27203.835644609633,12.89993156042237,6526148.176976847,0.9678106880337809,121412.0,4,1430,372,374,2176,17.922445886732778,53752.085271446376
SERTAOZINHO,3551702,2015,0.3650513597145623,298.44013909587676,0.3544593514881151,29297.084765161944,12.795181854469464,6348397.374082659,0.9753582453794173,120152.0,9,1315,402,388,2105,17.519475331247087,52836.38536256292
SERTAOZINHO,3551702,2014,0.36223916549113977,295.2409339294585,0.3851208103378651,30270.307856794694,12.67433427266968,7029138.740262175,0.9754922447896923,118864.0,5,1312,371,386,2069,17.4064477049401,59135.97674873952
SERTAOZINHO,3551702,2013,0.3520438305432337,291.949826130154,0.40318532572167537,30709.149440374702,12.528191601603714,6703726.633872904,0.9621424228807853,117539.0,10,1374,353,464,2191,18.64062141076579,57034.06217402653
SERTAOZINHO,3551702,2012,0.3614202015212991,279.18777943368104,0.39093958238805704,33223.307866116724,12.464976560010923,7267289.022402664,0.9541709259353904,112401.0,12,1673,463,420,2556,22.74001120986468,64655.0210621139
SERTAOZINHO,3551702,2011,0.3652557281994146,276.34624937903624,0.40445095589491,32572.52109091655,12.27267878572381,6997277.807905198,0.9462600274886372,111257.0,10,1384,360,387,2131,19.153850993645342,62892.92186473838
SERTAOZINHO,3551702,2010,0.35428489308614686,273.4575260804769,0.42357440005813213,33995.47,11.92363776724637,6924093.18,0.9517305013777755,110094.0,8,1681,407,335,2423,22.008465493124056,62892.557087579706
SOCORRO,3552106,2017,0.26094888765820295,89.57683741648107,0.19278965688712082,13226.159517081063,13.377998452411658,2325984.37738916,0.8793292682045866,40220.0,1,287,30,40,357,8.876181004475386,57831.535986801595
SOCORRO,3552106,2016,0.2358049088332826,88.85523385300668,0.19245037096450773,12679.963751878158,13.335504037509768,1964051.7229358405,0.8673224110379761,39896.0,2,316,24,44,384,9.62502506516944,49229.28922538201
SOCORRO,3552106,2015,0.2487480960386872,88.11804008908686,0.18511310501706052,12649.93658109991,13.194565811032223,2059579.1016659623,0.8676777000299494,39565.0,3,230,31,54,315,7.96158220649564,52055.581995853965
SOCORRO,3552106,2014,0.24455337657673232,87.3652561247216,0.18963978892089633,13632.559442746007,13.020164000537706,1418250.888112314,0.8323223106736017,39227.0,1,215,31,61,307,7.826242129145742,36154.96693890214
SOCORRO,3552106,2013,0.2462626730086567,86.5879732739421,0.18290549925407684,12668.95116331767,12.887216987765434,1196881.6472975463,0.8253830965576083,38878.0,1,224,26,60,310,7.973661196563609,30785.576606243798
SOCORRO,3552106,2012,0.24107086248741033,83.0467706013363,0.1885325037545591,12661.338505613165,12.828449502133713,994896.7588663729,0.8352138519563462,37288.0,2,227,15,51,293,7.8577558463848955,26681.4191929407
SOCORRO,3552106,2011,0.2460941474801302,82.38752783964365,0.185121107266436,12263.77889415215,12.75554906542056,697492.396858679,0.8221135217327741,36992.0,3,334,38,53,425,11.488970588235293,18855.222665946127
SOCORRO,3552106,2010,0.2660732733636705,81.72605790645879,0.18520234364354818,11892.82,12.648763978811065,650893.29,0.8237179686607005,36695.0,1,275,37,44,356,9.701594222646136,17737.928600626787
SOROCABA,3552205,2017,0.3925937958292114,1469.6458797327393,0.28963236753850374,31203.32865820637,14.139174340728339,28438282.67322421,0.997793118870842,659871.0,56,7714,3809,2339,13862,21.00713624329604,43096.730532519556
SOROCABA,3552205,2016,0.3935490560385809,1453.187082405345,0.2934123752262518,30872.695892148575,14.018804258119783,23882885.098828126,0.9974479887708619,652481.0,62,7526,3637,2574,13737,21.053486614935913,36603.18859679918
SOROCABA,3552205,2015,0.39952795846266986,1436.3452115812918,0.309721065746241,34542.93198778111,13.953080177225964,29023313.03258696,0.9968751037054667,644919.0,53,7160,2980,3543,13683,21.216617900852665,45003.03609071366
SOROCABA,3552205,2014,0.3970714960014413,1419.1247216035636,0.33125754291911164,36976.79307365421,13.876763015639138,29387794.41268479,0.9968848328871472,637187.0,85,7708,2606,3532,13846,21.729884633553414,46121.145617667644
